universite_adi,bolum_adi,puan_2024,tur
FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Burslu),318.73071,bilgisayar
BİRUNİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),318.60465,bilgisayar
HALİÇ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),318.43671,bilgisayar
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,Bilgisayar Mühendisliği,318.23556,bilgisayar
BEYKOZ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),318.16688,bilgisayar
İSTANBUL ATLAS ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Burslu),318.13828,bilgisayar
GİRESUN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,317.75773,bilgisayar
SELÇUK ÜNİVERSİTESİ,Bilgisayar Mühendisliği,317.43087,bilgisayar
İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Burslu),317.05983,bilgisayar
KIRIKKALE ÜNİVERSİTESİ,Bilgisayar Mühendisliği,316.76902,bilgisayar
TRAKYA ÜNİVERSİTESİ,Bilgisayar Mühendisliği,316.54916,bilgisayar
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Bilgisayar Mühendisliği,316.33957,bilgisayar
BALIKESİR ÜNİVERSİTESİ,Bilgisayar Mühendisliği,316.1923,bilgisayar
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,Bilgisayar Mühendisliği,315.75196,bilgisayar
ÇANKAYA ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),315.71799,bilgisayar
DÜZCE ÜNİVERSİTESİ,Bilgisayar Mühendisliği,315.4641,bilgisayar
İSTANBUL OKAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),315.39485,bilgisayar
DOĞUŞ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),315.33322,bilgisayar
ALTINBAŞ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),315.18751,bilgisayar
İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Burslu),314.98174,bilgisayar
TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,Bilgisayar Mühendisliği,314.78708,bilgisayar
İSTANBUL TOPKAPI ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Burslu),314.68201,bilgisayar
İSTANBUL RUMELİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Burslu),314.56984,bilgisayar
İSTANBUL TİCARET ÜNİVERSİTESİ,Bilgisayar Mühendisliği (%50 İndirimli),314.51278,bilgisayar
