universite_adi,bolum_adi,kontenjan,tur
"Biruni Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"Biruni Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (%50 İndirimli)","2","bilgisayar"
"Biruni Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Biruni Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","2","bilgisayar"
"Çankaya Üniversitesi (Ankara)","Bilgisayar Mühendisliği (İngilizce) (Ücretli)","1","bilgisayar"
"Çankaya Üniversitesi (Ankara)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Çankaya Üniversitesi (Ankara)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","1","bilgisayar"
"Çankaya Üniversitesi (Ankara)","Yazılım Mühendisliği (İngilizce) (Ücretli)","1","yazilim"
"Çankaya Üniversitesi (Ankara)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Çankaya Üniversitesi (Ankara)","Yazılım Mühendisliği (İngilizce) (%50 İndirimli)","1","yazilim"
"Doğuş Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Doğuş Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","2","bilgisayar"
"Doğuş Üniversitesi (İstanbul)","Yazılım Mühendisliği (Burslu)","1","yazilim"
"Doğuş Üniversitesi (İstanbul)","Yazılım Mühendisliği (%50 İndirimli)","2","yazilim"
"Fatih Sultan Mehmet Vakıf Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"Fatih Sultan Mehmet Vakıf Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (%25 İndirimli)","2","bilgisayar"
"Fatih Sultan Mehmet Vakıf Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Fatih Sultan Mehmet Vakıf Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (%25 İndirimli)","2","yazilim"
"Haliç Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Ücretli)","1","bilgisayar"
"Haliç Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Haliç Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (%25 İndirimli)","1","bilgisayar"
"Haliç Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (Ücretli)","1","yazilim"
"Haliç Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Haliç Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (%25 İndirimli)","1","yazilim"
"Hasan Kalyoncu Üniversitesi (Gaziantep)","Bilgisayar Mühendisliği (İngilizce) (Ücretli)","2","bilgisayar"
"Hasan Kalyoncu Üniversitesi (Gaziantep)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Hasan Kalyoncu Üniversitesi (Gaziantep)","Yazılım Mühendisliği (İngilizce) (Ücretli)","2","yazilim"
"Hasan Kalyoncu Üniversitesi (Gaziantep)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Işık Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Ücretli)","1","bilgisayar"
"Işık Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Işık Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","1","bilgisayar"
"Işık Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Işık Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (%50 İndirimli)","1","yazilim"
"İstanbul Arel Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (Ücretli)","2","bilgisayar"
"İstanbul Arel Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"İstanbul Atlas Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"İstanbul Atlas Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (%50 İndirimli)","2","bilgisayar"
"İstanbul Atlas Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"İstanbul Atlas Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","1","bilgisayar"
"İstanbul Atlas Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"İstanbul Atlas Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (%50 İndirimli)","2","yazilim"
"İstanbul Aydın Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Ücretli)","2","bilgisayar"
"İstanbul Aydın Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"İstanbul Aydın Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (Ücretli)","2","yazilim"
"İstanbul Aydın Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"İstanbul Beykent Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"İstanbul Beykent Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (%50 İndirimli)","2","bilgisayar"
"İstanbul Beykent Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"İstanbul Beykent Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","2","bilgisayar"
"İstanbul Beykent Üniversitesi (İstanbul)","Yazılım Mühendisliği (Burslu)","1","yazilim"
"İstanbul Beykent Üniversitesi (İstanbul)","Yazılım Mühendisliği (%50 İndirimli)","2","yazilim"
"İstanbul Bilgi Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"İstanbul Bilgi Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","2","bilgisayar"
"İstanbul Esenyurt Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"İstanbul Esenyurt Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (%50 İndirimli)","1","bilgisayar"
"İstanbul Esenyurt Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"İstanbul Esenyurt Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (%50 İndirimli)","1","yazilim"
"İstanbul Gedik Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"İstanbul Gedik Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (%50 İndirimli)","2","bilgisayar"
"İstanbul Gelişim Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"İstanbul Gelişim Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (%25 İndirimli)","2","bilgisayar"
"İstanbul Gelişim Üniversitesi (İstanbul)","Yazılım Mühendisliği (Burslu)","1","yazilim"
"İstanbul Gelişim Üniversitesi (İstanbul)","Yazılım Mühendisliği (%25 İndirimli)","1","yazilim"
"İstanbul Kültür Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Ücretli)","1","bilgisayar"
"İstanbul Kültür Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"İstanbul Kültür Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","1","bilgisayar"
"İstanbul Nişantaşı Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"İstanbul Nişantaşı Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (%50 İndirimli)","2","bilgisayar"
"İstanbul Nişantaşı Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"İstanbul Nişantaşı Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (%50 İndirimli)","2","yazilim"
"İstanbul Okan Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Ücretli)","2","bilgisayar"
"İstanbul Okan Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"İstanbul Okan Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (Ücretli)","2","yazilim"
"İstanbul Okan Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"İstanbul Rumeli Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"İstanbul Rumeli Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (%50 İndirimli)","2","bilgisayar"
"İstanbul Sabahattin Zaim Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (Ücretli)","2","bilgisayar"
"İstanbul Sabahattin Zaim Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"İstanbul Sağlık ve Teknoloji Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"İstanbul Sağlık ve Teknoloji Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (%50 İndirimli)","2","bilgisayar"
